,price,date_of_transfer,joined
351,941100,2022-04-06,102 TENISON ROAD
352,701995,2022-06-14,26 TENISON ROAD
353,632000,2023-06-27,20 TENISON ROAD
354,570000,2024-04-03,54 TENISON ROAD
355,850000,2024-04-23,50 TENISON ROAD
356,840000,2020-01-29,95 MAWSON ROAD
357,805000,2020-07-20,71 MAWSON ROAD
358,575000,2020-10-16,47 MAWSON ROAD
359,530000,2021-03-31,39 MAWSON ROAD
360,537500,2022-01-14,53 MAWSON ROAD
361,535000,2022-02-24,3 MAWSON ROAD
362,865000,2022-08-31,87 MAWSON ROAD
363,750000,2022-11-17,23 MAWSON ROAD
364,640000,2023-02-21,9 MAWSON ROAD
365,1150000,2023-12-21,57 MAWSON ROAD
366,644108,2024-04-16,47 MAWSON ROAD
367,1067500,2020-11-30,110 MAWSON ROAD
368,550000,2021-03-12,18 MAWSON ROAD
369,983000,2021-04-14,96 MAWSON ROAD
370,780000,2021-06-03,38 MAWSON ROAD
371,450000,2022-01-28,50 MAWSON ROAD
372,1253101,2022-04-08,94 MAWSON ROAD
373,740000,2022-06-30,46 MAWSON ROAD
374,1290000,2022-10-28,84 MAWSON ROAD
375,1500000,2023-06-01,92 MAWSON ROAD
376,467500,2024-06-11,16 MAWSON ROAD
377,805000,2020-04-30,87 GLISSON ROAD
378,655000,2022-01-11,52 MAWSON ROAD
379,470000,2023-02-27,2 MAWSON PLACE
380,580000,2020-02-26,1 CROSS STREET
381,395000,2021-02-05,8 CROSS STREET
382,491000,2021-06-25,11 CROSS STREET
383,475000,2021-06-29,10 CROSS STREET
384,528000,2022-08-31,22 CROSS STREET
385,595000,2020-10-15,9 FENNERS LAWN
386,555000,2023-01-05,26 FENNERS LAWN
387,570000,2024-05-31,23 FENNERS LAWN
